,Region,FSL IEEE,SPM IEEE,AFNI IEEE,FSL MCA1,FSL MCA2,FSL MCA3,SPM MCA1,SPM MCA2,SPM MCA3,AFNI MCA1,AFNI MCA2,AFNI MCA3
61,L_POS1_ROI,0,0,1,0,0,0,0,0,0,1,1,1
62,R_POS1_ROI,0,0,1,0,0,0,0,0,0,1,1,1
63,L_23d_ROI,0,0,1,0,0,0,0,0,0,1,1,1
64,R_23d_ROI,0,0,1,0,0,0,0,0,0,1,0,1
65,L_v23ab_ROI,1,0,1,1,0,0,0,0,0,1,1,1
66,R_v23ab_ROI,1,0,1,1,1,1,0,0,0,1,1,1
67,L_d23ab_ROI,0,0,1,0,0,0,0,0,0,1,1,1
68,R_d23ab_ROI,1,0,1,1,1,1,0,0,0,1,1,1
69,L_31pv_ROI,0,0,1,0,0,0,0,0,0,1,1,1
70,R_31pv_ROI,1,1,1,1,1,1,1,1,1,1,1,1
71,L_5m_ROI,0,0,1,0,0,0,0,0,0,1,1,1
72,R_5m_ROI,0,0,1,0,0,0,0,0,0,1,1,1
73,L_5mv_ROI,0,0,0,0,0,0,0,0,0,0,0,0
74,R_5mv_ROI,0,0,0,0,0,0,0,0,0,0,0,0
75,L_23c_ROI,0,0,1,0,0,0,0,0,0,1,1,0
76,R_23c_ROI,0,1,1,0,0,0,1,1,1,0,0,0
77,L_5L_ROI,0,1,1,0,0,0,1,1,0,1,1,1
78,R_5L_ROI,0,0,1,0,0,0,0,0,0,1,0,1
79,L_24dd_ROI,0,1,1,0,0,0,1,1,1,1,1,1
80,R_24dd_ROI,0,1,1,0,0,0,1,1,1,1,1,1
81,L_24dv_ROI,0,0,1,0,0,0,0,0,0,1,1,1
82,R_24dv_ROI,0,1,1,0,0,0,1,1,1,1,1,1
83,L_7AL_ROI,0,0,0,0,0,0,0,0,0,0,0,0
84,R_7AL_ROI,0,1,0,0,0,0,1,1,1,0,0,0
85,L_SCEF_ROI,1,1,1,1,1,1,1,1,1,1,1,1
86,R_SCEF_ROI,1,1,1,1,1,1,1,1,1,1,1,1
87,L_6ma_ROI,1,1,1,1,1,1,1,1,1,1,1,1
88,R_6ma_ROI,1,1,1,1,1,1,1,1,1,1,1,1
89,L_7Am_ROI,0,0,0,0,0,0,0,0,0,0,0,1
90,R_7Am_ROI,1,1,1,1,1,1,1,1,1,1,1,1
91,L_7PL_ROI,0,0,0,0,0,0,0,0,0,0,0,1
92,R_7PL_ROI,0,0,0,0,0,0,0,0,0,0,0,1
93,L_7PC_ROI,0,1,0,0,0,0,1,1,0,0,0,0
94,R_7PC_ROI,0,0,0,0,0,0,0,0,0,0,0,0
95,L_LIPv_ROI,0,0,0,0,0,0,0,0,0,0,0,0
96,R_LIPv_ROI,0,0,0,0,0,0,0,0,0,0,0,0
97,L_VIP_ROI,0,0,0,0,0,0,0,0,0,0,0,0
98,R_VIP_ROI,0,0,0,0,0,0,0,0,0,0,0,0
99,L_MIP_ROI,0,0,0,0,0,0,0,0,0,0,0,0
100,R_MIP_ROI,0,0,0,0,0,0,0,0,0,0,0,0
101,L_1_ROI,0,1,1,0,0,0,1,1,0,1,1,1
102,R_1_ROI,0,0,1,0,0,0,0,0,0,1,0,1
103,L_2_ROI,0,1,1,0,0,0,1,1,1,1,0,0
104,R_2_ROI,0,0,1,0,0,0,0,0,0,1,1,1
105,L_3a_ROI,0,0,1,0,0,0,0,0,0,1,1,1
106,R_3a_ROI,0,0,1,0,0,0,0,0,0,1,1,1
107,L_6d_ROI,0,0,1,0,0,0,0,0,0,1,1,1
108,R_6d_ROI,0,0,1,0,0,0,0,0,0,1,1,1
109,L_6mp_ROI,0,1,1,0,0,0,1,1,1,1,1,1
110,R_6mp_ROI,0,1,1,0,0,0,1,1,1,1,1,1
111,L_6v_ROI,0,1,1,0,0,0,1,1,1,1,1,1
112,R_6v_ROI,0,0,0,0,0,0,0,0,0,0,0,0
113,L_p24pr_ROI,1,1,1,1,1,1,1,1,1,1,1,1
114,R_p24pr_ROI,0,1,1,0,0,0,1,1,1,1,1,1
115,L_33pr_ROI,1,1,1,1,1,1,1,1,1,1,1,1
116,R_33pr_ROI,0,1,1,0,0,0,1,1,1,1,1,1
117,L_a24pr_ROI,1,1,1,1,1,1,1,1,1,1,1,1
118,R_a24pr_ROI,0,1,1,0,1,0,1,1,1,1,1,1
119,L_p32pr_ROI,1,1,1,1,1,1,1,1,1,1,1,1
120,R_p32pr_ROI,1,1,1,1,1,1,1,1,1,1,1,1
121,L_a24_ROI,1,1,1,1,1,1,1,1,1,1,1,1
122,R_a24_ROI,1,1,1,1,1,1,1,1,1,1,1,1
123,L_d32_ROI,1,1,1,1,1,1,1,1,1,1,1,1
124,R_d32_ROI,0,1,1,0,0,0,1,1,1,1,1,1
125,L_8BM_ROI,1,1,1,1,1,1,1,1,1,1,1,1
126,R_8BM_ROI,1,0,1,1,1,1,0,0,0,1,1,1
127,L_p32_ROI,0,1,0,0,0,0,1,1,1,0,0,0
128,R_p32_ROI,1,0,1,1,1,0,0,0,0,1,1,1
129,L_10r_ROI,1,1,1,1,1,1,1,1,1,1,1,1
130,R_10r_ROI,1,1,1,1,1,1,1,1,1,1,1,1
131,L_47m_ROI,0,0,0,0,0,0,0,0,0,0,0,0
132,R_47m_ROI,0,0,0,0,0,0,0,0,0,0,0,0
133,L_8Av_ROI,0,0,1,0,0,0,0,0,0,1,1,1
134,R_8Av_ROI,0,1,1,0,0,0,1,1,1,1,1,1
135,L_8Ad_ROI,0,0,0,0,0,0,0,0,0,0,0,0
136,R_8Ad_ROI,0,1,1,0,0,0,1,1,1,1,1,1
137,L_9m_ROI,1,1,1,0,1,1,1,1,1,1,1,1
138,R_9m_ROI,0,0,1,1,0,1,0,0,0,1,1,1
139,L_8BL_ROI,0,0,1,0,0,0,0,0,0,1,1,1
140,R_8BL_ROI,0,0,1,0,0,0,0,0,0,1,1,1
141,L_9p_ROI,1,0,0,1,1,1,0,0,0,1,1,1
142,R_9p_ROI,0,0,1,0,0,0,0,0,0,1,1,1
143,L_10d_ROI,1,1,1,1,1,1,1,1,1,1,1,1
144,R_10d_ROI,1,1,1,1,1,1,1,1,1,1,1,1
145,L_8C_ROI,0,0,0,0,0,0,0,0,0,0,0,0
146,R_8C_ROI,0,0,1,0,0,0,0,0,0,1,1,1
147,L_44_ROI,1,1,1,1,1,1,1,1,1,1,1,1
148,R_44_ROI,1,1,1,1,1,1,1,1,1,1,1,1
149,L_45_ROI,1,1,1,1,1,1,1,1,1,1,1,1
150,R_45_ROI,0,1,1,0,0,0,1,1,1,1,1,1
151,L_47l_ROI,1,1,1,1,1,1,1,1,1,1,1,1
152,R_47l_ROI,0,1,1,0,0,0,1,1,1,1,1,1
153,L_a47r_ROI,1,0,0,1,1,1,0,0,0,0,0,0
154,R_a47r_ROI,0,0,0,0,0,0,0,0,0,0,0,0
155,L_6r_ROI,1,1,1,1,1,1,1,1,1,1,1,1
156,R_6r_ROI,0,0,1,0,0,0,1,1,0,1,1,1
157,L_IFJa_ROI,0,0,0,0,0,0,0,0,0,0,0,0
158,R_IFJa_ROI,0,0,0,0,0,0,0,0,0,0,0,0
159,L_IFJp_ROI,0,1,1,0,0,0,1,1,1,1,1,1
160,R_IFJp_ROI,0,0,0,0,0,0,0,0,0,0,0,0
161,L_IFSp_ROI,0,0,1,0,0,0,0,0,0,1,1,1
162,R_IFSp_ROI,0,0,1,0,0,0,0,0,0,1,1,1
163,L_IFSa_ROI,1,0,1,1,1,1,0,0,0,1,1,1
164,R_IFSa_ROI,0,0,1,0,0,0,0,0,0,0,0,0
165,L_p9-46v_ROI,1,1,1,1,1,1,1,1,1,1,0,0
166,R_p9-46v_ROI,0,0,1,0,0,0,0,0,0,1,1,1
167,L_46_ROI,1,1,1,1,1,1,1,1,1,1,1,1
168,R_46_ROI,0,0,1,0,0,0,0,0,0,1,1,1
169,L_a9-46v_ROI,1,1,1,1,1,1,1,1,1,1,1,1
170,R_a9-46v_ROI,0,0,0,0,0,0,0,0,0,0,0,0
171,L_9-46d_ROI,1,1,1,1,1,1,1,1,1,1,1,1
172,R_9-46d_ROI,0,0,1,0,0,0,0,0,0,1,1,1
173,L_9a_ROI,1,1,1,1,1,1,1,1,1,1,1,1
174,R_9a_ROI,1,0,1,1,1,1,0,0,0,1,1,1
175,L_10v_ROI,1,1,1,1,1,1,1,1,1,1,1,1
176,R_10v_ROI,1,1,1,1,1,1,1,1,1,1,1,1
177,L_a10p_ROI,0,0,0,0,0,0,0,0,0,0,0,0
178,R_a10p_ROI,0,0,0,0,0,0,0,0,0,0,0,0
179,L_10pp_ROI,1,0,1,1,1,1,0,0,0,1,1,1
180,R_10pp_ROI,1,0,1,1,1,1,0,0,0,1,1,1
181,L_11l_ROI,0,0,0,0,0,0,0,0,0,0,0,0
182,R_11l_ROI,0,0,0,0,0,0,0,0,0,1,0,0
183,L_13l_ROI,0,0,1,0,0,0,0,0,0,1,0,1
184,R_13l_ROI,1,1,1,1,1,1,1,1,1,1,1,1
185,L_OFC_ROI,1,1,1,1,1,1,1,1,1,1,1,1
186,R_OFC_ROI,1,1,1,1,1,1,1,1,1,1,1,1
187,L_47s_ROI,1,1,1,1,1,1,1,1,1,1,1,1
188,R_47s_ROI,1,1,1,1,1,1,1,1,1,1,1,1
189,L_LIPd_ROI,0,0,0,0,0,0,0,0,0,0,0,0
190,R_LIPd_ROI,0,0,0,0,0,0,0,0,0,0,0,0
191,L_6a_ROI,1,0,1,1,1,1,0,0,0,1,1,1
192,R_6a_ROI,1,1,1,0,0,0,1,1,1,1,1,1
193,L_i6-8_ROI,0,0,0,0,0,0,0,0,0,0,0,0
194,R_i6-8_ROI,0,1,1,0,0,0,1,1,1,1,1,1
195,L_s6-8_ROI,0,0,1,0,0,0,0,0,0,1,1,1
196,R_s6-8_ROI,0,1,1,0,0,0,1,1,1,1,1,1
